ref_id,citation_text,source_type,source_id,claim_context,priority,exists,accessible,supports_claim,note,last_checked
11,"The glymphatic system and ALS (PubMed, 2024)",PMID,PMID:38266701,§4.1 ALS 中的膠質淋巴功能障礙 / 表3 ALS 證據,high,T,T,T,"Eisen A, Nedergaard M et al., Prog Neurobiol 2024. Abstract explicitly states glymphatic system clears TDP-43 and glutamate — direct match to cited claim. Strong support.",2026-08-03
12,"Defining novel functions for CSF in ALS pathophysiology (Edinburgh Research, 2020)",URL,research.ed.ac.uk/...Glymphatics_ALS_2020...,§4.1 ALS 中 CSF 的新功能 / 運動神經元選擇性死亡,high,,,,,
13,"Driving force of the cranio-spinal CSF oscillation (ResearchGate, 2023)",URL,researchgate.net/figure/...374091994,§1.3 生理搏動的驅動力（顱-脊髓 CSF 振盪）,med,,,,,
14,Improving Cerebrospinal Fluid Flow in the Brain (The Lift Clinic),URL,theliftclinic.com/csf/,§1.3 引用不明，可能為一般參考,low,,,,,
15,Meningeal lymphatic vessels (Wikipedia),URL,wikipedia.org/wiki/Meningeal_lymphatic_vessels,§2.1 腦膜淋巴管的基礎描述,low,,,,,
16,"Glymphatic system: emerging therapeutic approach (Frontiers, 2023)",DOI,DOI:10.3389/fnmol.2023.1138769,§3.4 脊髓廢液經脊神經根匯入全身循環 / §2.1 治療應用,high,,,,,
17,"CSF outflow along lumbar nerves (PMC, 2014)",PMC,PMC4157386,§3.4 CSF 經腰神經流出 / 神經周圍鞘膜,high,,,,,
18,"Anatomy and physiology of CSF (ResearchGate, 2011)",URL,researchgate.net/...51814628...,§3 脊髓 CSF 生理基礎,med,,,,,
19,CSF Cerebrospinal Fluid (Physiopedia),URL,physio-pedia.com/CSF_Cerebrospinal_Fluid,§3 一般 CSF 參考,low,,,,,
20,Spinal Cord: Anatomy (Cleveland Clinic),URL,my.clevelandclinic.org/...spinal-cord,§3 脊髓基礎解剖,low,,,,,
21,"The Spinal Cord (Boundless Anatomy, Pressbooks)",URL,university.pressbooks.pub/...spinal-cord/,§3 脊髓解剖教科書級參考,low,,,,,
22,"Restoration of AQP4 polarization in spinal glymphatic system by metformin (PMC, 2023)",PMC,PMC9981323,§3.1 脊髓示蹤劑清除率下降 / 糖尿病神經病變模型 / §3.2 AQP4 去極化與病理,high,T,T,T,"Xu C et al., Neuroreport 2023, DOI:10.1097/wnr.0000000000001880, PMID:36719843. Rat PDN model + metformin restoration of AQP4 polarization in spinal glymphatic system. Directly supports both L84 (diabetic neuropathy tracer clearance) and L92 (AQP4 polarization reversal in pathological states) claims.",2026-08-03
23,"Unraveling the lymphatic system in the spinal cord meninges (PMC, 2024)",PMC,PMC11072229,§3.1 脊髓成像技術挑戰 / §3.2 AQP4 總體表達水平低於大腦 / 星狀膠細胞形態差異,high,T,T,T,"Gonuguntla S, Herz J, Cell Mol Life Sci 2023, DOI:10.1007/s00018-023-05013-1, PMID:37985518. Spinal cord meninges lymphatic system review. Supports L86 (in vivo spinal imaging technical challenges), L92 (AQP4 expression level comparison), L93 (astrocyte morphology differences).",2026-08-03
24,"The Role of Aquaporins in Spinal Cord Injury (MDPI, 2023)",DOI,DOI:10.3390/cells12131701,§3.2 AQP4 在脊髓中的分佈（膠質界膜、中央管）/ §4.2 SCI 淋巴引流受損,high,T,T,T,"Garcia TA, Jonak CR, Binder DK, Cells 2023, DOI:10.3390/cells12131701, PMID:37443735. AQP4 distribution on astrocytic endfeet, glia limitans, central canal ependyma. Direct match for L92 (AQP4 spinal distribution claim) and L147/L171 (SCI lymphatic drainage exacerbates pathology).",2026-08-03
25,"The role of AQP4 in spinal cord injury (ResearchGate, 2021)",URL,researchgate.net/...356813429...,§3.2 引用可能與 24 重疊（ResearchGate 版本）,med,,,,,
26,Spinal Cord | Anatomy and Physiology I (Lumen Learning),URL,courses.lumenlearning.com/...spinal-cord/,§3.2 脊髓灰質白質佈局（蝴蝶狀結構）,low,,,,,
27,"Spinal Lymphatic Dysfunction Aggravates Recovery (PubMed, 2024)",PMID,PMID:38460904,§3.3 脊髓損傷後淋巴引流阻斷加劇病理 / 微囊泡釋放（**注意**：claim_context 原包含 NF-κB 信號通路，但正文中未明確提及，已修正）,high,T,T,T,"Zhang RG et al., Neuroscience 2024, DOI:10.1016/j.neuroscience.2024.03.005, PMID:38460904. Spinal lymphatic dysfunction after SCI. Supports L116 (lymphatic blockage exacerbates pathology) and L118 (microvesicle release). Note: original claim_context mentioned NF-κB pathway but body text at L116-L118 does not explicitly cite NF-κB — possible claim extraction issue from index.csv.",2026-08-03
28,"Unraveling the lymphatic system in spinal cord meninges (PubMed, 2023)",PMID,PMID:37985518,§3.3 脊髓腦膜淋巴管在免疫監視和液體平衡中的角色,high,,,,,
29,"Assessment of glymphatic dysfunction in ALS using DTI-ALPS (PMC, 2025)",PMC,PMC12106509,§4.1 ALS DTI-ALPS 指數降低 / §3.4 頸椎病脊髓病變,high,T,T,T,"Baek SH et al., Front Aging Neurosci 2025, DOI:10.3389/fnagi.2025.1570327, PMID:40433509. DTI-ALPS assessment in ALS vs PD vs NCs. Directly supports L126 (CSM/ALS glymphatic involvement) and L140 (ALS DTI-ALPS reduction vs PLS).",2026-08-03
30,"Role of the Glymphatic System in Cervical Spondylotic Myelopathy (WUSTL, 2024)",URL,profiles.wustl.edu/...cervical-spondylotic-myelopa,§3.4 頸椎病脊髓病變與廢物積聚,med,,,,,
31,"CSF-Venous Fistulas: Anatomy and Diagnostic Imaging (AJR, 2021)",DOI,DOI:10.2214/AJR.21.26182,§3.4 CSF-靜脈瘻管的解剖與診斷,high,,,,,
32,"Diagnosis and treatment of spontaneous intracranial hypotension (Frontiers, 2023)",DOI,DOI:10.3389/fneur.2023.1145949,§3.4 自發性顱內低壓的診斷與治療,med,,,,,
33,"Glymphatic system in neurological disorders (PMC, 2025)",PMC,PMC11835678,§4 系統失靈與神經系統疾病的關聯（總論）,high,T,T,F,"Corbali O, Levey AI, Front Neurol 2025 (PMC:PMC11835678). Paper exists but is an ORPHAN citation — listed in works cited but never referenced in body text. Same pattern as ref 9.",2026-08-03
34,"Longitudinal analysis of glymphatic function in ALS and PLS (Brain, 2024)",DOI,DOI:10.1093/brain/awae215,§4.1 ALS 與 PLS 的縱向比較（DTI-ALPS）,high,,,,,
35,"Glymphatic system: a gateway for neuroinflammation (PMC, 2024)",PMC,PMC11168510,§4.3 神經發炎與膠質淋巴系統的關聯,high,,,,,
36,"Bidirectional link between sleep disturbances and TBI (PMC, 2022)",PMC,PMC8758801,§4.2 TBI 後睡眠障礙與膠質淋巴功能,high,,,,,
37,"MS patient with glymphatic failure benefitted from CSF flow shunting (PMC, 2022)",PMC,PMC9663833,§4.3 MS 血管周圍間隙擴張 / AQP4 去極化 / DTI-ALPS 降低,high,,,,,
38,"Glymphatic Dysfunction in RRMS and Brain Structural Damage (ResearchGate, 2025)",URL,researchgate.net/...391762525...,§4.3 MS 患者 DTI-ALPS 指數降低與認知功能,med,,,,,
39,"The glymphatic system for neurosurgeons: a scoping review (PubMed, 2024)",PMID,PMID:38253938,§4 神經外科視角的膠質淋巴系統總論,med,,,,,
40,"Brain's Waste Removal System Could Improve Delivery of Therapies (ALS News Today, 2025)",URL,alsnewstoday.com/...waste-clearance-system...,§5.1 高滲鹽水增強藥物遞送 / §5.2 繞過血腦屏障的藥物遞送,high,,,,,
41,"A synthesized view of the CSF-blood barrier (Frontiers, 2024)",DOI,DOI:10.3389/fnagi.2024.1492449,§5 結論與未來展望,med,,,,,
